SampleID,salinity,temp,datetime,CRM,Acid,Set,m0,m
CRM178_1,33.782,26.51414,24/11/2019 09:01:16,178,1,1,50.7116666666667,2.3903
CRM178_2,33.782,26.75328,24/11/2019 09:04:40,178,1,1,50.9547333333333,2.39859999999999
CRM178_2,33.782,26.84292,24/11/2019 09:06:49,178,1,1,50.9547333333333,2.39859999999999
CRM178_3,33.782,26.58881,24/11/2019 09:08:03,178,1,1,50.5752,2.40700000000001
CRM178_1,33.782,26.50632,29/11/2019 06:37:38,178,1,1,51.3629666666667,2.29939999999999
CRM178_2,33.782,26.57157,29/11/2019 06:39:13,178,1,1,51.2200333333333,2.28919999999999
CRM178_2,33.782,26.579,29/11/2019 06:39:28,178,1,1,51.2200333333333,2.28919999999999
CRM178_3,33.782,26.7393,29/11/2019 06:40:47,178,1,1,51.0089,2.3202
CRM178_4,33.782,26.78853,29/11/2019 06:41:31,178,1,1,50.6407333333333,2.3364
CRM1_ACID1,33.782,25.71236,03/12/2019 10:15:24,178,1,2,50.8501,2.4503
CRM1_ACID1,33.782,25.6424,03/12/2019 10:16:12,178,1,2,50.8501,2.4503
CRM1_ACID1,33.782,25.80018,03/12/2019 10:20:42,178,1,2,50.8501,2.4503
CRM2_ACID1,33.782,25.24834,03/12/2019 10:22:40,178,1,2,50.8936,2.45830000000001
CRM2_ACID1,33.782,25.25863,03/12/2019 10:23:07,178,1,2,50.8936,2.45830000000001
CRM3_ACID1,33.782,25.42997,03/12/2019 10:24:23,178,1,2,51.0697,2.44289999999998
CRM3_ACID1,33.782,25.43793,03/12/2019 10:24:37,178,1,2,51.0697,2.44289999999998
CRM4_ACID1,33.782,25.66692,03/12/2019 10:25:39,178,1,2,51.1897,2.48150000000001
CRM4_ACID1,33.782,25.58199,03/12/2019 10:25:54,178,1,2,51.1897,2.48150000000001
CRM1_ACID2,33.782,26.10333,03/12/2019 10:30:41,178,2,3,51.2021333333333,2.42409999999998
CRM1_ACID2,33.782,26.11283,03/12/2019 10:30:55,178,2,3,51.2021333333333,2.42409999999998
CRM6_ACID2,33.782,26.38165,03/12/2019 10:32:22,178,2,3,51.2234333333333,2.44559999999998
CRM6_ACID2,33.782,26.19722,03/12/2019 10:32:37,178,2,3,51.2234333333333,2.44559999999998
CRM7_ACID2,33.782,25.81856,03/12/2019 10:33:44,178,2,3,51.2519666666667,2.44219999999999
CRM7_ACID2,33.782,25.82656,03/12/2019 10:33:59,178,2,3,51.2519666666667,2.44219999999999
CRM8_ACID2,33.782,25.95849,03/12/2019 10:35:00,178,2,3,50.9556333333333,2.4572
CRM8_ACID2,33.782,25.92021,03/12/2019 10:35:14,178,2,3,50.9556333333333,2.4572
,,,,,,,,
crm_1,33.471,18.75396,10/07/2018 13:02:36,140,3,4,51.025,1.9803
crm_1a,33.471,18.76693,10/07/2018 13:03:24,140,3,4,51.025,1.9803
crm_1b,33.471,18.77179,10/07/2018 13:04:16,140,3,4,51.025,1.9803
crm_2,33.471,18.80768,10/07/2018 13:05:56,140,3,4,50.2098,1.97040000000001
crm_2a,33.471,18.81157,10/07/2018 13:06:33,140,3,4,50.2098,1.97040000000001
crm_2b,33.471,18.82365,10/07/2018 13:07:16,140,3,4,50.2098,1.97040000000001
crm_3,33.471,18.85074,10/07/2018 13:08:55,140,3,4,50.9825,1.97409999999999
crm_3a,33.471,18.83958,10/07/2018 13:09:35,140,3,4,50.9825,1.97409999999999
crm_3b,33.471,18.84356,10/07/2018 13:10:17,140,3,4,50.9825,1.97409999999999
Dickson1_1,33.471,22.43472,18/07/2018 16:55:24,140,3,5,50.1451,1.95089999999999
Dickson1_2,33.471,22.43725,18/07/2018 16:56:33,140,3,5,50.1451,1.95089999999999
Dickson1_3,33.471,22.42687,18/07/2018 16:57:23,140,3,5,50.1451,1.95089999999999
Dickson2_1,33.471,22.53343,18/07/2018 17:02:03,140,3,5,49.7955,1.95690000000002
Dickson2_2,33.471,22.51682,18/07/2018 17:02:44,140,3,5,49.7955,1.95690000000002
Dickson2_3,33.471,22.51474,18/07/2018 17:03:49,140,3,5,49.7955,1.95690000000002
Dickson3_1,33.471,22.57613,18/07/2018 17:07:55,140,3,5,50.6137,1.94800000000001
Dickson3_2,33.471,22.56597,18/07/2018 17:09:49,140,3,5,50.6137,1.94800000000001
Dickson3_3,33.471,22.56736,18/07/2018 17:10:19,140,3,5,50.6137,1.94800000000001
Dickson4_1,33.471,22.60244,18/07/2018 17:13:00,140,3,5,50.6609,1.95170000000002
Dickson4_2,33.471,22.59528,18/07/2018 17:13:29,140,3,5,50.6609,1.95170000000002
Dickson4_3,33.471,22.59228,18/07/2018 17:14:11,140,3,5,50.6609,1.95170000000002
Dickson5_1,33.471,22.59413,18/07/2018 17:16:09,140,3,5,50.7153,1.94299999999998
Dickson5_2,33.471,22.5969,18/07/2018 17:16:48,140,3,5,50.7153,1.94299999999998
Dickson5_3,33.471,22.60382,18/07/2018 17:17:28,140,3,5,50.7153,1.94299999999998
dickson_crm_1,33.471,19.73287,21/07/2018 12:58:22,140,3,6,50.3171,1.9538
dickson_crm_1,33.471,19.87782,21/07/2018 12:58:48,140,3,6,50.3171,1.9538
dickson_crm_1,33.471,19.88087,21/07/2018 12:59:10,140,3,6,50.3171,1.9538
dickson_crm_2,33.471,20.01477,21/07/2018 13:01:24,140,3,6,50.526,1.96510000000001
dickson_crm_2,33.471,20.015,21/07/2018 13:01:48,140,3,6,50.526,1.96510000000001
dickson_crm_2,33.471,19.98471,21/07/2018 13:02:14,140,3,6,50.526,1.96510000000001
dickson_crm_3,33.471,19.71776,21/07/2018 13:04:00,140,3,6,50.5044,1.9648
dickson_crm_3,33.471,19.76125,21/07/2018 13:04:59,140,3,6,50.5044,1.9648
dickson_crm_3,33.471,19.74506,21/07/2018 13:05:28,140,3,6,50.5044,1.9648
dickson_crm_4,33.471,19.94212,21/07/2018 13:08:48,140,3,6,50.48,1.96869999999998
dickson_crm_4,33.471,20.15081,21/07/2018 13:09:43,140,3,6,50.48,1.96869999999998
dickson_crm_4,33.471,20.1366,21/07/2018 13:10:18,140,3,6,50.48,1.96869999999998
dickson_crm_5,33.471,20.37941,21/07/2018 13:11:50,140,3,6,38.3523,1.5445
dickson_crm_5,33.471,20.41871,21/07/2018 13:12:13,140,3,6,38.3523,1.5445
dickson_crm_5,33.471,20.40276,21/07/2018 13:12:35,140,3,6,38.3523,1.5445
,,,,,,,,
SRM,33.782,25.62112,10/05/2019 13:51:02,178,7,12,51.1450666666667,1.4085
SRM,33.782,25.61377,10/05/2019 13:51:41,178,7,12,51.1450666666667,1.4085
SRM,33.782,25.57884,10/05/2019 13:52:26,178,7,12,51.1450666666667,1.4085
SRM2,33.782,25.53767,10/05/2019 13:53:35,178,7,12,50.9301333333333,1.43220000000002
SRM2,33.782,25.44107,10/05/2019 13:54:12,178,7,12,50.9301333333333,1.43220000000002
SRM2,33.782,25.75119,10/05/2019 13:55:49,178,7,12,50.9301333333333,1.43220000000002
,,,,,,,,
CRM1,33.782,27.23368,19/05/2019 10:12:33,178,7,13,50.9702666666667,1.41370000000001
CRM1,33.782,26.96484,19/05/2019 10:13:10,178,7,13,50.9702666666667,1.41370000000001
CRM1,33.782,26.88515,19/05/2019 10:13:50,178,7,13,50.9702666666667,1.41370000000001
CRM2,33.782,26.80301,19/05/2019 10:14:43,178,7,13,51.2856333333333,1.42349999999999
CRM2,33.782,26.79239,19/05/2019 10:15:19,178,7,13,51.2856333333333,1.42349999999999
CRM2,33.782,26.76989,19/05/2019 10:16:04,178,7,13,51.2856333333333,1.42349999999999
CRM3,33.782,26.78664,19/05/2019 10:17:02,178,7,13,51.119,1.41159999999999
CRM3,33.782,26.78162,19/05/2019 10:17:33,178,7,13,51.119,1.41159999999999
CRM3,33.782,26.86588,19/05/2019 10:18:10,178,7,13,51.119,1.41159999999999
,,,,,,,,
CRM,33.782,25.77322,24/05/2019 16:43:26,178,7,14,50.8557333333333,1.40960000000001
CRM,33.782,25.75731,24/05/2019 16:43:58,178,7,14,50.8557333333333,1.40960000000001
CRM,33.782,25.86957,24/05/2019 16:44:38,178,7,14,50.8557333333333,1.40960000000001
CRM2,33.782,25.84515,24/05/2019 16:54:43,178,7,14,51.3478333333333,1.41240000000002
CRM2,33.782,25.89725,24/05/2019 16:55:15,178,7,14,51.3478333333333,1.41240000000002
CRM2,33.782,25.89627,24/05/2019 16:56:13,178,7,14,51.3478333333333,1.41240000000002
,,,,,,,,
CRM,33.782,26.94268,27/05/2019 15:08:00,178,7,15,51.0023333333333,1.41049999999998
CRM,33.782,26.95306,27/05/2019 15:08:38,178,7,15,51.0023333333333,1.41049999999998
CRM,33.782,26.94533,27/05/2019 15:09:16,178,7,15,51.0023333333333,1.41049999999998
CRM2,33.782,26.86304,27/05/2019 15:10:13,178,7,15,50.5260333333333,1.4161
CRM2,33.782,26.83406,27/05/2019 15:10:49,178,7,15,50.5260333333333,1.4161
CRM2,33.782,26.82588,27/05/2019 15:11:28,178,7,15,50.5260333333333,1.4161
,,,,,,,,
CRM 1,33.782,26.05149,07/12/2019 15:37:33,178,2,16,50.7556666666667,2.5009
CRM 2,33.782,26.28365,07/12/2019 15:39:15,178,2,16,51.4887333333333,2.39089999999999
CRM 3,33.782,26.21882,07/12/2019 15:40:57,178,2,16,51.5476,2.45160000000001
CRM 4,33.782,26.01194,07/12/2019 15:42:05,178,2,16,50.3809333333333,2.4228
CRM 5,33.782,25.85865,07/12/2019 15:43:14,178,2,16,49.8796333333333,2.46450000000002
